,国电南自,600268,电气机械,36,37,73
,大名城,600094,房地产业,29,32,61
,哈药股份,600664,医药制造,21,24,45
,大丰实业,603081,专用设备,25,20,45
,金证股份,600446,软件服务,46,46,92
,武进不锈,603878,黑色金属,12,15,27
,美思德,603041,化学制品,13,14,27
,梅花生物,600873,食品加工,23,25,48
,方大特钢,600507,黑色金属,42,33,75
,亚星化学,600319,化学制品,23,24,47
,爱柯迪,600933,汽车制造,12,13,25
,金花股份,600080,医药制造,34,34,68
,农发种业,600313,农业,32,38,70
,西南证券,600369,金融服务,18,23,41
,中远海控,601919,水上运输,28,29,57
,冠豪高新,600433,纸制品,31,39,70
,新智认知,603869,软件服务,41,35,76
,合力科技,603917,专用设备,9,13,22
,渤海汽车,600960,汽车制造,27,34,61
,瀚蓝环境,600323,生态环境,24,21,45
,特变电工,600089,电气机械,16,19,35
,沃格光电,603773,电子设备,14,15,29
,葛洲坝,600068,土木工程,25,25,50
,兰太实业,600328,化学制品,33,31,64
,通宝能源,600780,电热供应,16,19,35
,华懋科技,603306,汽车制造,21,21,42
,鸣志电器,603728,电气机械,12,12,24
,华菱精工,603356,通用设备,15,17,32
,宝钢包装,601968,金属制品,30,30,60
,中国化学,601117,土木工程,21,20,41
,海南矿业,601969,金属采选,30,36,66
,深圳新星,603978,有色金属,24,21,45
,亚士创能,603378,化学制品,18,16,34
,勘设股份,603458,专业技术,12,16,28
,赛福天,603028,金属制品,36,28,64
,法兰泰克,603966,通用设备,25,24,49
,海油发展,600968,开采辅助,0,4,4
,宁波富邦,600768,有色金属,30,26,56
,青山纸业,600103,纸制品,27,28,55
,中农立华,603970,批发业,13,17,30
,福能股份,600483,电热供应,25,25,50
,金海环境,603311,专用设备,39,35,74
,横店影视,603103,文体传媒,17,15,32
,兰生股份,600826,批发业,31,32,63
,隆基股份,601012,非金属,49,35,84
,南山铝业,600219,有色金属,16,20,36
,福建高速,600033,道路运输,16,14,30
,香江控股,600162,房地产业,25,31,56
,璞泰来,603659,电气机械,21,11,32
,空港股份,600463,土木工程,46,47,93
,重庆百货,600729,零售业,19,16,35
,阳泉煤业,600348,煤炭采选,20,21,41
,王府井,600859,零售业,26,24,50
,秦港股份,601326,水上运输,15,17,32
,盛和资源,600392,有色金属,37,39,76
,欧亚集团,600697,零售业,18,20,38
,林洋能源,601222,仪器仪表,30,33,63
,海立股份,600619,通用设备,36,34,70
,日出东方,603366,电气机械,34,36,70
,贵州茅台,600519,饮料制造,26,9,35
,再升科技,603601,非金属,44,40,84
,天创时尚,603608,毛皮鞋类,19,21,40
,妙可蓝多,600882,食品加工,18,15,33
,华银电力,600744,电热供应,29,33,62
,江苏舜天,600287,批发业,29,32,61
,振德医疗,603301,专用设备,13,14,27
,成都银行,601838,金融服务,7,8,15
,三江购物,601116,零售业,46,40,86
,华正新材,603186,电子设备,38,27,65
,览海投资,600896,卫生,34,35,69
,桐昆股份,601233,化学纤维,39,34,73
,天药股份,600488,医药制造,17,18,35
,中国一重,601106,专用设备,29,31,60
,日照港,600017,水上运输,20,21,41
,灵康药业,603669,医药制造,37,37,74
,重庆路桥,600106,道路运输,25,29,54
,皖维高新,600063,化学纤维,29,25,54
,新集能源,601918,煤炭采选,30,32,62
,招商银行,600036,金融服务,16,7,23
,大唐发电,601991,电热供应,13,19,32
,曲江文旅,600706,公共设施,31,31,62
,方大炭素,600516,非金属,39,34,73
